delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.9100000000000006,4.812036752700806,"[198.32437549283293, 264.5308368262675]","[197.79624689391852, 278.0860670976512]","[-13.203385068596164, 338.88074880365735]",False,True
0.01,0.9200000000000006,4.865023374557495,"[198.19080040957715, 267.9156410149118]","[197.6565070867467, 281.454857962761]","[-13.357508325577014, 338.48041886442735]",False,True
0.01,0.9300000000000006,4.9189980030059814,"[198.11587294519225, 271.2818712013991]","[197.81617021689678, 284.7467919905636]","[-7.492746438490868, 336.6230186487328]",False,True
0.01,0.9400000000000006,4.971918344497681,"[198.04651002476535, 274.64448828284236]","[197.76906553986356, 288.09495648870205]","[-6.936292042689877, 336.2617081443272]",False,True
0.01,0.9500000000000006,5.0250115394592285,"[198.04683108259746, 277.98227084307615]","[198.0481224988277, 291.3334007919637]","[0.032105783210517026, 333.77825602337924]",False,True
0.01,0.9600000000000006,5.0780253410339355,"[198.06003108095797, 281.3174791898932]","[198.11283820894107, 294.6583121114309]","[1.3199998360494232, 333.5208346817085]",False,True
0.01,0.9700000000000006,5.131034851074219,"[198.1527139913931, 284.62102961319323]","[198.52345264731096, 297.83523066509997]","[9.268291043514084, 330.35504232999835]",False,True
0.01,0.9800000000000006,5.183966159820557,"[198.26560499482096, 287.9236202558752]","[198.7171758556635, 301.1339819762481]","[11.289100342786028, 330.2590642681988]",False,True
0.01,0.9900000000000007,5.236980438232422,"[198.46649050815506, 291.18734743975784]","[199.27003919400755, 304.2422551337394]","[20.088551333409775, 326.37271838826456]",False,True
0.01,1.0000000000000007,5.29094123840332,"[198.69470222530168, 294.45220853840505]","[199.60755550698573, 307.51165171619914]","[22.821171714662007, 326.48610986472187]",False,True
0.01,1.0100000000000007,5.343997478485107,"[199.01816126653299, 297.67082276441766]","[200.31200359005652, 310.5452782973339]","[32.34590412313144, 321.86142260126053]",False,True
0.01,1.0200000000000007,5.397972106933594,"[199.37561359225998, 300.8930266109671]","[200.80542880558426, 313.7818404872303]","[35.745232572698846, 322.2203846549477]",False,True
0.01,1.0300000000000007,5.4509265422821045,"[199.83438617965282, 304.06163626420846]","[201.66948216714553, 316.73607324979]","[45.877258739284784, 316.8609653241349]",False,True
0.01,1.0400000000000007,5.50304388999939,"[200.3331339643688, 307.2365167692289]","[202.3281304833972, 319.936037057669]","[49.87477847159915, 317.4880505020419]",False,True
0.01,1.0500000000000007,5.557016611099243,"[200.93819325242697, 310.3507003819405]","[203.35843551097744, 322.8074330170896]","[60.50592880581573, 311.4183612711583]",False,True
0.01,1.0600000000000007,5.610950946807861,"[201.5883173381035, 313.47390789192565]","[204.18881852385522, 325.96673608374203]","[65.01240856765476, 312.3207509985164]",False,True
0.01,1.0700000000000007,5.664064884185791,"[202.34875139157512, 316.52974821434236]","[205.3904921673359, 328.75310766913657]","[76.04340534716084, 305.58403224166955]",False,True
0.01,1.0800000000000007,5.717981576919556,"[203.1582877054559, 319.59726938855863]","[206.39643726107607, 331.8673522795911]","[80.9536313880795, 306.7521174216274]",False,True
0.01,1.0900000000000007,5.772987127304077,"[204.08119786931482, 322.59133834371465]","[207.77284255058632, 334.56761241735404]","[92.29101638589103, 299.4068955156033]",False,True
0.01,1.1000000000000008,5.8270275592803955,"[205.05610037527507, 325.599471810607]","[208.9557141693747, 337.63200400422386]","[97.49025059602397, 300.81334668923336]",False,True
0.01,1.1100000000000008,5.881021738052368,"[206.14652209982285, 328.52875934507296]","[210.5082124995587, 340.2459079133146]","[109.0421724547769, 292.92875344659905]",False,True
0.01,1.1200000000000008,5.934895753860474,"[207.2906599462793, 331.47404289505704]","[211.8672145809655, 343.2551756423664]","[114.41378464564683, 294.5283549984084]",False,True
0.01,1.1300000000000008,5.988029479980469,"[208.55151728459262, 334.3358293699784]","[213.5949496184071, 345.7829739671116]","[126.08573383133015, 286.1786474921332]",False,True
0.01,1.1400000000000008,6.041985273361206,"[209.86670972171518, 337.2149213250834]","[215.12748219447315, 348.73128800368187]","[131.5192437122557, 287.9091955105045]",False,True
0.01,1.1500000000000008,6.0960211753845215,"[211.29881682538777, 340.0066010257948]","[217.02724768870297, 351.17331888193985]","[143.2107103672586, 279.1679700711371]",False,True
0.01,1.1600000000000008,6.150000095367432,"[212.78491023951798, 342.81612599707205]","[218.72928607640395, 354.0542251377299]","[148.60934141302005, 280.95249712772744]",False,True
0.01,1.1700000000000008,6.20406436920166,"[214.38703113933764, 345.53499795657257]","[220.79551662720087, 356.41048528634747]","[160.2120899819665, 271.88719595004943]",False,True
0.01,1.1800000000000008,6.257987976074219,"[216.0420203957904, 348.27137471387147]","[222.6619790217434, 359.21688147177724]","[165.49892564527508, 273.6376757298923]",False,True
0.01,1.1900000000000008,6.311954736709595,"[217.8109924690118, 350.9144250328794]","[224.8868820467644, 361.4866263048083]","[176.897207322141, 264.30503190079565]",False,True
