delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.5400000000000003,3.284330129623413,"[176.883243192181, 182.23786365175107]","[179.65277150619858, 184.1090859257764]","[276.95283151176255, 187.12222749166347]",False,True
0.01,0.5500000000000003,3.343625068664551,"[179.50335953410607, 184.20973892151653]","[182.12347587659374, 186.1816141917738]","[262.0116341925064, 197.1875269765448]",False,True
0.01,0.5600000000000003,3.403012275695801,"[182.3048809718914, 186.05744575984951]","[185.10640240998148, 187.90515259843005]","[280.1521437785335, 184.77068383329765]",False,True
0.01,0.5700000000000003,3.464447021484375,"[184.95416124144592, 188.0305902727133]","[187.6034415109591, 190.00373478554036]","[264.92802695544975, 197.3144512863801]",False,True
0.01,0.5800000000000003,3.525144100189209,"[187.77496487577963, 189.87140700802286]","[190.59576851025582, 191.71222374344978]","[282.0803634333718, 184.08167353095556]",False,True
0.01,0.5900000000000003,3.585996150970459,"[190.44132070981652, 191.86115851099413]","[193.10767654367692, 193.85091001380536]","[266.635583403688, 198.97515029712608]",False,True
0.01,0.6000000000000003,3.646610975265503,"[193.268711214365, 193.71151789992206]","[196.09610171871591, 195.56187728868312]","[282.739050454847, 185.03593889279207]",False,True
0.01,0.6100000000000003,3.7074639797210693,"[195.94032542180975, 195.73194545824424]","[198.6119396293824, 197.7523730166853]","[267.1614207444749, 202.0427558322174]",False,True
0.01,0.6200000000000003,3.767008066177368,"[198.76219688985333, 197.60730994502657]","[201.58406835805263, 199.482674431944]","[282.18714680435914, 187.53644867823357]",False,True
0.01,0.6300000000000003,3.8280022144317627,"[201.42812441076057, 199.67056955057666]","[204.0940519316871, 201.73382915614516]","[266.5927520907244, 206.32596055500787]",False,True
0.01,0.6400000000000003,3.8890492916107178,"[204.23345163665095, 201.5847419589027]","[207.03877886250874, 203.49891436719926]","[280.5327225890366, 191.41724083260422]",False,True
0.01,0.6500000000000004,3.9506759643554688,"[206.88414260908516, 203.7005652071187]","[209.53483358147443, 205.8163884552896]","[265.06909724342165, 211.58232482160076]",False,True
0.01,0.6600000000000004,4.012470245361328,"[209.66337488701154, 205.66512356898076]","[212.4426071649329, 207.62968193083793]","[277.9232277926372, 196.45583618620466]",False,True
0.01,0.6700000000000004,4.0719382762908936,"[212.29109643552124, 207.84046446919146]","[214.91881798406695, 210.01580536943945]","[262.7721548509693, 217.53409002107122]",False,True
0.01,0.6800000000000004,4.1316611766815186,"[215.03644728693487, 209.864344991938]","[217.7817981383589, 211.88822551469448]","[274.5350851413647, 202.38805227465286]",False,True
0.01,0.6900000000000004,4.190596103668213,"[217.6355851907454, 212.10319882964828]","[220.23472309454854, 214.34205266735037]","[259.91379038105094, 223.8853837710267]",False,True
0.01,0.7000000000000004,4.249693155288696,"[220.34121816920683, 214.19243877614355]","[223.04685114766013, 216.28167872263043]","[270.5632978461436, 208.9239946495278]",False,True
0.01,0.7100000000000004,4.308674097061157,"[222.9084449636843, 216.49583533045455]","[225.47567175815962, 218.79923188476297]","[256.7226794477488, 230.33965543109957]",False,True
0.01,0.7200000000000004,4.368166923522949,"[225.57056052475508, 218.6534761804734]","[228.23267608583177, 220.8111170304984]","[266.2115561070777, 215.76408500188586]",False,True
0.01,0.7300000000000004,4.4281721115112305,"[228.10486312722307, 221.01963821925972]","[230.6391657296946, 223.38580025804995]","[253.4302602467994, 236.61620387863252]",False,True
0.01,0.7400000000000004,4.488921165466309,"[230.72169454159103, 223.2457799015675]","[233.33852595595536, 225.4719215838712]","[261.6831414367974, 222.61416823077766]",False,True
0.01,0.7500000000000004,4.549447059631348,"[233.22426220680984, 225.67042746639922]","[235.726829872026, 228.0950750312278]","[250.2567665218793, 242.46475648317426]",False,True
0.01,0.7600000000000005,4.610575199127197,"[235.7959899960896, 227.96241731056293]","[238.36771778537124, 230.25440715472865]","[257.172778927975, 229.1989844163696]",False,True
0.01,0.7700000000000005,4.670636177062988,"[238.26997196808696, 230.43918960909323]","[240.74395394008582, 232.91596190762513]","[247.39819719973858, 247.6772298530296]",False,True
0.01,0.7800000000000005,4.731858015060425,"[240.79856687142538, 232.79192511645164]","[243.32716177476271, 235.14466062380862]","[252.85949033384287, 235.27355073583928]",False,True
0.01,0.7900000000000005,4.792137145996094,"[243.24871781097622, 235.31288555698416]","[245.69886875052615, 237.83384599751545]","[245.01509395508333, 252.09604405325143]",False,True
0.01,0.8000000000000005,4.8530120849609375,"[245.73772239549072, 237.71920788698662]","[248.22672698000574, 240.1255302169896]","[248.90045845145002, 240.63223300024745]",False,True
0.01,0.8100000000000005,4.9133172035217285,"[248.16996158605485, 240.27539448446745]","[250.60220077661955, 242.8315810819488]","[243.22391905641382, 255.61865974808327]",False,True
0.01,0.8200000000000005,4.9731810092926025,"[250.62422075432792, 242.72654917054697]","[253.0784799226009, 245.17770385662627]","[245.42591682730784, 245.11546860795212]",False,True
0.01,0.8300000000000005,5.032753229141235,"[253.04513721547994, 245.30853254249448]","[255.46605367663193, 247.8905159144418]","[242.09164611520214, 258.1983371947512]",False,True
0.01,0.8400000000000005,5.09190034866333,"[255.4704883201666, 247.79467472592623]","[257.89583942485314, 250.28081690935775]","[242.53511046866424, 248.614218343175]",False,True
